"X.query","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","codigo_genoma"
"20501873","1410653.JHVC01000012_gene2321",1.07e-197,551,"COG0462@1|root,COG0462@2|Bacteria,1TQ6Q@1239|Firmicutes,248ZN@186801|Clostridia,36DE7@31979|Clostridiaceae","186801|Clostridia","F","Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)","prs","-","2.7.6.1","ko:K00948","ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230","M00005","R01049","RC00002,RC00078","ko00000,ko00001,ko00002,ko01000","-","-","-","Pribosyl_synth,Pribosyltran_N","GCF_000007625.1"
"20501874","332101.JIBU02000034_gene1761",8.96e-143,405,"COG0745@1|root,COG0745@2|Bacteria,1TPZ0@1239|Firmicutes,249IC@186801|Clostridia,36EQW@31979|Clostridiaceae","186801|Clostridia","KT","response regulator","srrA1","-","-","-","-","-","-","-","-","-","-","-","Response_reg,Trans_reg_C","GCF_000007625.1"
"20501875","1230342.CTM_15787",1.06e-261,726,"COG2770@1|root,COG5002@1|root,COG2770@2|Bacteria,COG5002@2|Bacteria,1TQ1H@1239|Firmicutes,247VG@186801|Clostridia,36F2H@31979|Clostridiaceae","186801|Clostridia","T","Histidine kinase","-","-","-","-","-","-","-","-","-","-","-","-","HAMP,HATPase_c,HisKA","GCF_000007625.1"
"20501876","1230342.CTM_15782",1.23e-193,547,"COG0265@1|root,COG0265@2|Bacteria,1TRM8@1239|Firmicutes,247M5@186801|Clostridia,36DM2@31979|Clostridiaceae","186801|Clostridia","O","PDZ DHR GLGF domain protein","-","-","3.4.21.107","ko:K04771","ko01503,ko02020,map01503,map02020","M00728","-","-","ko00000,ko00001,ko00002,ko01000,ko01002,ko03110","-","-","-","PDZ_2,Trypsin_2","GCF_000007625.1"
"20501877","1410653.JHVC01000012_gene2317",8.26e-94,278,"COG0193@1|root,COG0193@2|Bacteria,1V3NB@1239|Firmicutes,24HMC@186801|Clostridia,36G0N@31979|Clostridiaceae","186801|Clostridia","J","The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis","pth","-","3.1.1.29","ko:K01056","-","-","-","-","ko00000,ko01000,ko03012","-","-","-","Pept_tRNA_hydro","GCF_000007625.1"
"20501878","1230342.CTM_15772",0,1608,"COG1197@1|root,COG1197@2|Bacteria,1TPF1@1239|Firmicutes,248D8@186801|Clostridia,36F91@31979|Clostridiaceae","186801|Clostridia","L","Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site","mfd","-","-","ko:K03723","ko03420,map03420","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","CarD_CdnL_TRCF,DEAD,Helicase_C,TRCF","GCF_000007625.1"
"20501879","1487921.DP68_04840",2.37e-114,340,"COG0760@1|root,COG0760@2|Bacteria,1TX3R@1239|Firmicutes,24C7H@186801|Clostridia,36G5K@31979|Clostridiaceae","186801|Clostridia","M","Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins","prsA","-","5.2.1.8","ko:K03769,ko:K07533","-","-","-","-","ko00000,ko01000,ko03110","-","-","-","Rotamase,Rotamase_2,Rotamase_3,SurA_N_2,SurA_N_3","GCF_000007625.1"
"20501880","1230342.CTM_15762",5.61e-101,295,"COG2002@1|root,COG2002@2|Bacteria,1V02A@1239|Firmicutes,248XR@186801|Clostridia,36E8G@31979|Clostridiaceae","186801|Clostridia","K","stage V sporulation protein T","spoVT","-","-","ko:K04769","-","-","-","-","ko00000,ko03000","-","-","-","MazE_antitoxin,SpoVT_C","GCF_000007625.1"
"20501881","1230342.CTM_15757",1.89e-230,650,"COG2244@1|root,COG2244@2|Bacteria,1TNYX@1239|Firmicutes,2485G@186801|Clostridia,36FTH@31979|Clostridiaceae","186801|Clostridia","S","Polysaccharide biosynthesis protein","spoVB","-","-","ko:K06409","-","-","-","-","ko00000,ko02000","2.A.66.2.14","-","-","Polysacc_synt,Polysacc_synt_C","GCF_000007625.1"
"20501882","1410653.JHVC01000012_gene2312",4.6e-256,712,"COG1694@1|root,COG3956@2|Bacteria,1TPK1@1239|Firmicutes,247XM@186801|Clostridia,36E9N@31979|Clostridiaceae","186801|Clostridia","S","MazG family","mazG","-","3.6.1.66","ko:K02428,ko:K02499","ko00230,map00230","-","R00426,R00720,R01855,R02100,R02720,R03531","RC00002","ko00000,ko00001,ko01000,ko03036","-","-","-","MazG,TP_methylase","GCF_000007625.1"
"20501883","1230342.CTM_15747",1.57e-45,147,"COG0776@1|root,COG0776@2|Bacteria,1V9XQ@1239|Firmicutes,24MM0@186801|Clostridia,36KID@31979|Clostridiaceae","186801|Clostridia","L","Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions","hup","-","-","ko:K03530","-","-","-","-","ko00000,ko03032,ko03036,ko03400","-","-","-","Bac_DNA_binding","GCF_000007625.1"
"20501884","1410653.JHVC01000012_gene2310",7.2e-34,118,"COG1188@1|root,COG1188@2|Bacteria,1VEI5@1239|Firmicutes,24QNF@186801|Clostridia,36KQU@31979|Clostridiaceae","186801|Clostridia","J","S4 domain protein","hslR","-","-","-","-","-","-","-","-","-","-","-","S4","GCF_000007625.1"
"20501885","1230342.CTM_15353",3.83e-46,150,"2E3ZZ@1|root,32YWW@2|Bacteria,1VEIW@1239|Firmicutes,24QNQ@186801|Clostridia,36MKU@31979|Clostridiaceae","186801|Clostridia","S","Sporulation protein YabP","yabP","-","-","-","-","-","-","-","-","-","-","-","YabP","GCF_000007625.1"
"20501886","1410653.JHVC01000012_gene2308",1.99e-41,141,"2EFTM@1|root,339JQ@2|Bacteria,1VKCW@1239|Firmicutes,24P2T@186801|Clostridia,36KTD@31979|Clostridiaceae","186801|Clostridia","S","Spore cortex biosynthesis protein YabQ","yabQ","-","-","-","-","-","-","-","-","-","-","-","Spore_YabQ","GCF_000007625.1"
"20501887","1410653.JHVC01000012_gene2307",1.27e-23,92.8,"COG2919@1|root,COG2919@2|Bacteria,1VKC5@1239|Firmicutes,24RDP@186801|Clostridia,36N90@31979|Clostridiaceae","186801|Clostridia","D","Septum formation initiator","-","-","-","-","-","-","-","-","-","-","-","-","DivIC","GCF_000007625.1"
"20501888","1410653.JHVC01000012_gene2306",4.63e-68,208,"COG1098@1|root,COG1098@2|Bacteria,1V6FE@1239|Firmicutes,24MPT@186801|Clostridia,36IRT@31979|Clostridiaceae","186801|Clostridia","J","RNA binding S1 domain protein","yugI","-","-","ko:K07570,ko:K07571","-","-","-","-","ko00000","-","-","-","S1","GCF_000007625.1"
"20501889","1230342.CTM_06233",0,1017,"COG2208@1|root,COG2208@2|Bacteria,1TQ92@1239|Firmicutes,247XG@186801|Clostridia,36DVK@31979|Clostridiaceae","186801|Clostridia","KT","stage II sporulation protein E","spoIIE","-","3.1.3.16","ko:K06382","-","-","-","-","ko00000,ko01000","-","-","-","SpoIIE","GCF_000007625.1"
"20501890","1410653.JHVC01000012_gene2304",6.96e-209,592,"COG0037@1|root,COG0037@2|Bacteria,1TPXP@1239|Firmicutes,248TY@186801|Clostridia,36EWX@31979|Clostridiaceae","186801|Clostridia","D","Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine","tilS","-","6.3.4.19","ko:K04075","-","-","R09597","RC02633,RC02634","ko00000,ko01000,ko03016","-","-","-","ATP_bind_3,TilS,TilS_C","GCF_000007625.1"
"20501891","1230342.CTM_06223",2.41e-98,288,"COG0634@1|root,COG0634@2|Bacteria,1V1C9@1239|Firmicutes,24FR4@186801|Clostridia,36HYM@31979|Clostridiaceae","186801|Clostridia","F","Belongs to the purine pyrimidine phosphoribosyltransferase family","hpt","-","2.4.2.8","ko:K00760","ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110","-","R00190,R01132,R01229,R02142,R08237,R08238,R08245","RC00063,RC00122","ko00000,ko00001,ko01000","-","-","-","Pribosyltran","GCF_000007625.1"
"20501892","1230342.CTM_06218",0,1041,"COG0465@1|root,COG0465@2|Bacteria,1TPTV@1239|Firmicutes,247WQ@186801|Clostridia,36DIC@31979|Clostridiaceae","186801|Clostridia","O","Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins","ftsH","-","-","ko:K03798","-","M00742","-","-","ko00000,ko00002,ko01000,ko01002,ko03110","-","-","-","AAA,FtsH_ext,Peptidase_M41","GCF_000007625.1"
"20501893","1230342.CTM_06213",2.59e-54,173,"COG5496@1|root,COG5496@2|Bacteria,1VAZJ@1239|Firmicutes,24MWR@186801|Clostridia,36KPD@31979|Clostridiaceae","186801|Clostridia","S","THIoesterase","-","-","3.1.2.29","ko:K18700","-","-","-","-","ko00000,ko01000","-","-","-","4HBT","GCF_000007625.1"
"20501894","1230342.CTM_06188",4.84e-150,426,"COG1521@1|root,COG1521@2|Bacteria,1TR0X@1239|Firmicutes,248PX@186801|Clostridia,36E0D@31979|Clostridiaceae","186801|Clostridia","F","Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis","coaX","-","2.7.1.33","ko:K03525","ko00770,ko01100,map00770,map01100","M00120","R02971,R03018,R04391","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000","-","-","-","Pan_kinase","GCF_000007625.1"
"20501895","1410653.JHVC01000012_gene2295",1.57e-169,480,"COG0042@1|root,COG0042@2|Bacteria,1TQ2R@1239|Firmicutes,248HD@186801|Clostridia,36E02@31979|Clostridiaceae","186801|Clostridia","J","Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines","dus","-","-","ko:K05540","-","-","-","-","ko00000,ko01000,ko03016","-","-","-","Dus","GCF_000007625.1"
"20501896","1230342.CTM_06178",8.69e-75,236,"29UU1@1|root,30G6G@2|Bacteria,1UFA8@1239|Firmicutes,24CVP@186801|Clostridia,36HCY@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501897","1487921.DP68_17045",1.11e-89,265,"COG0782@1|root,COG0782@2|Bacteria,1V44S@1239|Firmicutes,24HP9@186801|Clostridia,36HY8@31979|Clostridiaceae","186801|Clostridia","K","Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides","greA","-","-","ko:K03624","-","-","-","-","ko00000,ko03021","-","-","-","GreA_GreB,GreA_GreB_N","GCF_000007625.1"
"20501898","1230342.CTM_06168",1.71999999999998e-310,852,"COG1190@1|root,COG1190@2|Bacteria,1TP2P@1239|Firmicutes,247VX@186801|Clostridia,36DX4@31979|Clostridiaceae","186801|Clostridia","J","Belongs to the class-II aminoacyl-tRNA synthetase family","lysS","-","6.1.1.6","ko:K04567","ko00970,map00970","M00359,M00360","R03658","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016","-","-","-","tRNA-synt_2,tRNA_anti-codon,tRNA_bind","GCF_000007625.1"
"20501899","1487921.DP68_17030",1.22e-306,839,"COG0423@1|root,COG0423@2|Bacteria,1TP94@1239|Firmicutes,248FB@186801|Clostridia,36DC4@31979|Clostridiaceae","186801|Clostridia","J","Belongs to the class-II aminoacyl-tRNA synthetase family","glyQS","GO:0003674,GO:0003824,GO:0004812,GO:0004820,GO:0005488,GO:0005515,GO:0016874,GO:0016875,GO:0046983,GO:0140098,GO:0140101","6.1.1.14","ko:K01880","ko00970,map00970","M00359,M00360","R03654","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029","-","-","-","HGTP_anticodon,tRNA-synt_2b","GCF_000007625.1"
"20501900","1230342.CTM_06158",5.71e-226,634,"COG0771@1|root,COG0771@2|Bacteria,1TQ3P@1239|Firmicutes,248GS@186801|Clostridia,36DUY@31979|Clostridiaceae","186801|Clostridia","M","Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA)","murD","-","6.3.2.9","ko:K01925","ko00471,ko00550,ko01100,map00471,map00550,map01100","-","R02783","RC00064,RC00141","ko00000,ko00001,ko01000,ko01011","-","-","iHN637.CLJU_RS20420","Mur_ligase_C,Mur_ligase_M","GCF_000007625.1"
"20501901","1410653.JHVC01000052_gene798",3.35e-86,263,"COG0760@1|root,COG0760@2|Bacteria,1V5Q2@1239|Firmicutes,248JQ@186801|Clostridia,36DDY@31979|Clostridiaceae","186801|Clostridia","O","peptidylprolyl isomerase","prsA2","-","5.2.1.8","ko:K03769,ko:K07533","-","-","-","-","ko00000,ko01000,ko03110","-","-","-","Rotamase,Rotamase_2,Rotamase_3","GCF_000007625.1"
"20501902","1410653.JHVC01000002_gene4087",2.44e-133,382,"COG0846@1|root,COG0846@2|Bacteria,1TQKD@1239|Firmicutes,2491J@186801|Clostridia,36DJK@31979|Clostridiaceae","186801|Clostridia","K","NAD-dependent protein deacetylase which modulates the activities of several enzymes which are inactive in their acetylated form","cobB","-","-","ko:K12410","-","-","-","-","ko00000,ko01000","-","-","-","SIR2","GCF_000007625.1"
"20501903","1230342.CTM_20316",1.22e-54,177,"2EQG2@1|root,33I23@2|Bacteria,1VNX3@1239|Firmicutes,24KWW@186801|Clostridia,36M3T@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501904","1410653.JHVC01000002_gene4090",2.01e-152,442,"COG1473@1|root,COG1473@2|Bacteria,1TQ7B@1239|Firmicutes,2492H@186801|Clostridia,36EX4@31979|Clostridiaceae","186801|Clostridia","S","amidohydrolase","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501905","1230342.CTM_20326",1.33e-30,108,"28ZT8@1|root,2ZMHY@2|Bacteria,1W2NT@1239|Firmicutes,24QP5@186801|Clostridia,36MT4@31979|Clostridiaceae","186801|Clostridia","S","Inhibitor of sigma-G Gin","-","-","-","-","-","-","-","-","-","-","-","-","Gin","GCF_000007625.1"
"20501906","1230342.CTM_20331",3.9e-199,566,"COG1982@1|root,COG1982@2|Bacteria,1TNZ9@1239|Firmicutes,247RA@186801|Clostridia,36DPH@31979|Clostridiaceae","186801|Clostridia","E","Orn Lys Arg decarboxylase major","speA","-","4.1.1.18","ko:K01582","ko00310,ko00960,ko01100,ko01110,map00310,map00960,map01100,map01110","-","R00462","RC00299","ko00000,ko00001,ko01000","-","-","-","OKR_DC_1,OKR_DC_1_C","GCF_000007625.1"
"20501907","1230342.CTM_20336",9.74e-124,357,"COG0125@1|root,COG0125@2|Bacteria,1V2D5@1239|Firmicutes,259SU@186801|Clostridia,36F78@31979|Clostridiaceae","186801|Clostridia","F","Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis","tmk","-","2.7.4.9","ko:K00943","ko00240,ko01100,map00240,map01100","M00053","R02094,R02098","RC00002","ko00000,ko00001,ko00002,ko01000","-","-","iHN637.CLJU_RS00680","Thymidylate_kin","GCF_000007625.1"
"20501908","1410653.JHVC01000002_gene4094",7.41e-57,178,"COG3870@1|root,COG3870@2|Bacteria,1V6NI@1239|Firmicutes,24N37@186801|Clostridia,36JI0@31979|Clostridiaceae","186801|Clostridia","S","Cyclic-di-AMP receptor","yaaQ","-","-","-","-","-","-","-","-","-","-","-","CdAMP_rec","GCF_000007625.1"
"20501909","1410653.JHVC01000002_gene4095",3.52e-116,345,"COG0470@1|root,COG0470@2|Bacteria,1TRVS@1239|Firmicutes,25E6M@186801|Clostridia,36DG8@31979|Clostridiaceae","186801|Clostridia","L","DNA polymerase III","holB","-","2.7.7.7","ko:K02341","ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440","M00260","R00375,R00376,R00377,R00378","RC02795","ko00000,ko00001,ko00002,ko01000,ko03032,ko03400","-","-","-","DNA_pol3_delta2,DNApol3-delta_C","GCF_000007625.1"
"20501910","1230342.CTM_20351",2.8e-164,465,"COG1774@1|root,COG1774@2|Bacteria,1TP1V@1239|Firmicutes,247Q6@186801|Clostridia,36EJN@31979|Clostridiaceae","186801|Clostridia","S","PSP1 domain protein","yaaT","-","-","-","-","-","-","-","-","-","-","-","PSP1","GCF_000007625.1"
"20501911","1321778.HMPREF1982_00161",4.76e-16,72,"COG2608@1|root,COG2608@2|Bacteria,1UENE@1239|Firmicutes,24QQU@186801|Clostridia","186801|Clostridia","P","Heavy-metal-associated domain","-","-","-","-","-","-","-","-","-","-","-","-","HMA","GCF_000007625.1"
"20501912","1487921.DP68_00065",8.06e-17,73.2,"COG1143@1|root,COG1143@2|Bacteria,1UI35@1239|Firmicutes,25EC3@186801|Clostridia,36UJX@31979|Clostridiaceae","186801|Clostridia","C","4Fe-4S binding domain","-","-","-","-","-","-","-","-","-","-","-","-","Fer4","GCF_000007625.1"
"20501913","592027.CLG_B0492",7.69e-156,441,"COG2801@1|root,COG2801@2|Bacteria,1TRR6@1239|Firmicutes,24B89@186801|Clostridia,36GS0@31979|Clostridiaceae","186801|Clostridia","L","Integrase core domain","-","-","-","-","-","-","-","-","-","-","-","-","HTH_21,rve,rve_2","GCF_000007625.1"
"20501914","592027.CLG_B0493",6.87e-83,246,"COG2963@1|root,COG2963@2|Bacteria,1VW3A@1239|Firmicutes,24J72@186801|Clostridia,36JBQ@31979|Clostridiaceae","186801|Clostridia","L","transposase activity","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501915","1410653.JHVC01000002_gene4099",5.8e-123,357,"COG4123@1|root,COG4123@2|Bacteria,1TQ25@1239|Firmicutes,249UH@186801|Clostridia,36F66@31979|Clostridiaceae","186801|Clostridia","S","Methyltransferase","yfiC","-","2.1.1.223","ko:K15460","-","-","-","-","ko00000,ko01000,ko03016","-","-","-","MTS,Methyltransf_31","GCF_000007625.1"
"20501916","1230342.CTM_20376",1.66e-148,424,"COG0313@1|root,COG0313@2|Bacteria,1TP6U@1239|Firmicutes,24864@186801|Clostridia,36E3K@31979|Clostridiaceae","186801|Clostridia","H","Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA","rsmI","-","2.1.1.198","ko:K07056","-","-","-","-","ko00000,ko01000,ko03009","-","-","-","TP_methylase","GCF_000007625.1"
"20501917","1410653.JHVC01000002_gene4101",6.57e-106,324,"COG0791@1|root,COG0791@2|Bacteria,1UVYK@1239|Firmicutes,249G6@186801|Clostridia,36FW2@31979|Clostridiaceae","186801|Clostridia","M","NLP P60 protein","-","-","-","ko:K21471","-","-","-","-","ko00000,ko01000,ko01002,ko01011","-","-","-","NLPC_P60,SH3_3","GCF_000007625.1"
"20501918","632335.Calkr_0151",1e-43,142,"COG2002@1|root,COG2002@2|Bacteria,1VA3H@1239|Firmicutes,24MN7@186801|Clostridia,42GY0@68295|Thermoanaerobacterales","186801|Clostridia","K","TIGRFAM transcriptional regulator, AbrB family","abrB","-","-","ko:K06284","-","-","-","-","ko00000,ko03000","-","-","-","MazE_antitoxin","GCF_000007625.1"
"20501919","1410653.JHVC01000002_gene4103",9.32e-118,341,"COG0176@1|root,COG0176@2|Bacteria,1TP4Q@1239|Firmicutes,248KZ@186801|Clostridia,36EK7@31979|Clostridiaceae","186801|Clostridia","G","Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway","tal","-","2.2.1.2","ko:K00616","ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230","M00004,M00007","R01827","RC00439,RC00604","ko00000,ko00001,ko00002,ko01000","-","-","-","TAL_FSA","GCF_000007625.1"
"20501920","1410653.JHVC01000002_gene4104",3.26e-106,318,"COG0726@1|root,COG0726@2|Bacteria,1V6AW@1239|Firmicutes,24EU8@186801|Clostridia,36EYC@31979|Clostridiaceae","186801|Clostridia","G","polysaccharide deacetylase","-","-","-","-","-","-","-","-","-","-","-","-","Polysacc_deac_1","GCF_000007625.1"
"20501921","332101.JIBU02000013_gene1337",1.34e-74,233,"COG1940@1|root,COG1940@2|Bacteria,1TPKW@1239|Firmicutes,248U9@186801|Clostridia,36ESA@31979|Clostridiaceae","186801|Clostridia","GK","ROK family","glcK","-","2.7.1.2","ko:K00845","ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200","M00001,M00549","R00299,R01600,R01786","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000","-","-","iHN637.CLJU_RS10220","ROK","GCF_000007625.1"
"20501923","1410653.JHVC01000003_gene4026",7.77e-225,642,"COG0249@1|root,COG0249@2|Bacteria,1TPJP@1239|Firmicutes,247IW@186801|Clostridia,36DYT@31979|Clostridiaceae","186801|Clostridia","L","DNA mismatch repair protein MutS","mutS4","-","-","-","-","-","-","-","-","-","-","-","MutS_III,MutS_V","GCF_000007625.1"
"20501924","941824.TCEL_01141",2e-75,229,"COG0245@1|root,COG0245@2|Bacteria,1V3P0@1239|Firmicutes,24HCM@186801|Clostridia,36HZE@31979|Clostridiaceae","186801|Clostridia","I","Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP)","ispF","-","2.7.7.60,4.6.1.12","ko:K01770,ko:K12506","ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130","M00096","R05633,R05637","RC00002,RC01440","ko00000,ko00001,ko00002,ko01000","-","-","-","IspD,YgbB","GCF_000007625.1"
"20501925","1410653.JHVC01000002_gene4107",1.18e-66,204,"COG0251@1|root,COG0251@2|Bacteria,1V6HG@1239|Firmicutes,24J8Y@186801|Clostridia,36JHE@31979|Clostridiaceae","186801|Clostridia","J","endoribonuclease L-PSP","-","-","3.5.99.10","ko:K09022","-","-","R11098,R11099","RC03275,RC03354","ko00000,ko01000","-","-","-","Ribonuc_L-PSP","GCF_000007625.1"
"20501926","1230342.CTM_20451",9.66e-217,614,"COG4193@1|root,COG4886@1|root,COG4193@2|Bacteria,COG4886@2|Bacteria,1V1F9@1239|Firmicutes,25B43@186801|Clostridia,36EJU@31979|Clostridiaceae","186801|Clostridia","G","Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase","-","-","3.2.1.96","ko:K01227","ko00511,map00511","-","-","-","ko00000,ko00001,ko01000","-","-","-","Big_5,ChW,Glucosaminidase,SH3_3","GCF_000007625.1"
"20501927","1230342.CTM_20456",3.35e-37,126,"2EAFI@1|root,334IX@2|Bacteria,1VIZH@1239|Firmicutes,24RF5@186801|Clostridia,36MYQ@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501928","1410653.JHVC01000001_gene1914",9.61e-237,663,"COG0168@1|root,COG0168@2|Bacteria,1TPAF@1239|Firmicutes,248K4@186801|Clostridia,36E52@31979|Clostridiaceae","186801|Clostridia","P","potassium uptake protein TrkH","trkH","-","-","ko:K03498","-","-","-","-","ko00000,ko02000","2.A.38.1,2.A.38.4","-","-","TrkH","GCF_000007625.1"
"20501929","1410653.JHVC01000001_gene1913",2.9e-259,719,"COG0569@1|root,COG0569@2|Bacteria,1TPNS@1239|Firmicutes,24830@186801|Clostridia,36ERV@31979|Clostridiaceae","186801|Clostridia","P","domain protein","trkA","-","-","ko:K03499","-","-","-","-","ko00000,ko02000","2.A.38.1,2.A.38.4","-","-","TrkA_C,TrkA_N","GCF_000007625.1"
"20501930","1230342.CTM_20461",1.32e-96,285,"COG2715@1|root,COG2715@2|Bacteria,1V1E2@1239|Firmicutes,249G0@186801|Clostridia,36E11@31979|Clostridiaceae","186801|Clostridia","S","Spore maturation protein","spmA","-","-","ko:K06373","-","-","-","-","ko00000","-","-","-","Gate","GCF_000007625.1"
"20501931","1410653.JHVC01000002_gene4116",6.94e-84,251,"COG0700@1|root,COG0700@2|Bacteria,1V45M@1239|Firmicutes,24HSJ@186801|Clostridia,36HZ1@31979|Clostridiaceae","186801|Clostridia","S","Spore maturation protein","spmB","-","-","ko:K06374","-","-","-","-","ko00000","-","-","-","Gate","GCF_000007625.1"
"20501932","1230342.CTM_04778",5.38e-132,379,"COG1131@1|root,COG1131@2|Bacteria,1TQIH@1239|Firmicutes,248WG@186801|Clostridia,36DUF@31979|Clostridiaceae","186801|Clostridia","V","ABC transporter","-","-","-","ko:K01990","-","M00254","-","-","ko00000,ko00002,ko02000","3.A.1","-","-","ABC_tran","GCF_000007625.1"
"20501933","1230342.CTM_04783",1.04e-145,437,"28IUJ@1|root,2Z8T8@2|Bacteria,1W5W7@1239|Firmicutes,25E72@186801|Clostridia,36UMA@31979|Clostridiaceae","186801|Clostridia","S","Putative ATP-binding cassette","-","-","-","ko:K01992","-","M00254","-","-","ko00000,ko00002,ko02000","3.A.1","-","-","ABC_tran_2","GCF_000007625.1"
"20501934","1230342.CTM_20476",3.63e-79,239,"COG1573@1|root,COG1573@2|Bacteria,1V267@1239|Firmicutes,24DFW@186801|Clostridia,36EJT@31979|Clostridiaceae","186801|Clostridia","L","uracil-DNA glycosylase","udgA","-","3.2.2.27","ko:K21929","ko03410,map03410","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","UDG","GCF_000007625.1"
"20501935","1230342.CTM_20491",0,1097,"COG0143@1|root,COG0143@2|Bacteria,1TPA1@1239|Firmicutes,248AU@186801|Clostridia,36E2T@31979|Clostridiaceae","186801|Clostridia","J","Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation","metG","-","6.1.1.10","ko:K01874","ko00450,ko00970,map00450,map00970","M00359,M00360","R03659,R04773","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016","-","-","-","Anticodon_1,tRNA-synt_1g,tRNA_bind","GCF_000007625.1"
"20501936","1230342.CTM_20501",1.02e-136,392,"COG0084@1|root,COG0084@2|Bacteria,1TNY1@1239|Firmicutes,248HE@186801|Clostridia,36EDX@31979|Clostridiaceae","186801|Clostridia","L","Hydrolase, TatD family","tatD","-","-","ko:K03424","-","-","-","-","ko00000,ko01000","-","-","-","TatD_DNase","GCF_000007625.1"
"20501937","1230342.CTM_20506",3.18e-164,469,"COG3583@1|root,COG3584@1|root,COG3583@2|Bacteria,COG3584@2|Bacteria,1TTIK@1239|Firmicutes,24997@186801|Clostridia,36DTZ@31979|Clostridiaceae","186801|Clostridia","S","G5 domain protein","-","-","-","-","-","-","-","-","-","-","-","-","3D,DUF348,G5","GCF_000007625.1"
