"X.query","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","codigo_genoma"
"20485955","1314.HKU360_00200",1.33e-282,769,"COG2220@1|root,COG2220@2|Bacteria,1TSFV@1239|Firmicutes,4HBNW@91061|Bacilli","91061|Bacilli","S","L-ascorbate 6-phosphate lactonase","ulaG","-","-","ko:K03476","ko00053,ko01100,ko01120,map00053,map01100,map01120","M00550","R07677","RC02793","ko00000,ko00001,ko00002,ko01000","-","-","-","Lactamase_B_2,Lactamase_B_3","GCF_000006785.2"
"20485956","1314.HKU360_00201",7.4e-275,753,"COG3448@1|root,COG4175@1|root,COG3448@2|Bacteria,COG4175@2|Bacteria,1UHNE@1239|Firmicutes,4HA9P@91061|Bacilli","91061|Bacilli","E","glycine betaine","opuAA","-","3.6.3.32","ko:K02000","ko02010,map02010","M00208","-","-","ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1.12","-","-","ABC_tran,CBS","GCF_000006785.2"
"20485957","1314.HKU360_00202",0,1047,"COG2113@1|root,COG4176@1|root,COG2113@2|Bacteria,COG4176@2|Bacteria,1TP82@1239|Firmicutes,4H9MM@91061|Bacilli","91061|Bacilli","E","glycine betaine","busAB","-","-","ko:K02001,ko:K02002","ko02010,map02010","M00208","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.12","-","-","BPD_transp_1,OpuAC","GCF_000006785.2"
"20485958","1314.HKU360_00203",0,1699,"COG0258@1|root,COG0749@1|root,COG0258@2|Bacteria,COG0749@2|Bacteria,1TPKJ@1239|Firmicutes,4H9S7@91061|Bacilli","91061|Bacilli","L","In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity","polA","GO:0003674,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901362,GO:1901576","2.7.7.7","ko:K02335","ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440","-","R00375,R00376,R00377,R00378","RC02795","ko00000,ko00001,ko01000,ko03032,ko03400","-","-","-","5_3_exonuc,5_3_exonuc_N,DNA_pol_A","GCF_000006785.2"
"20485959","1314.HKU360_00204",1.35e-70,214,"COG1832@1|root,COG1832@2|Bacteria,1V7C7@1239|Firmicutes,4HIZT@91061|Bacilli","91061|Bacilli","S","CoA-binding protein","yneT","-","-","ko:K06929","-","-","-","-","ko00000","-","-","-","CoA_binding_2","GCF_000006785.2"
"20485960","1314.HKU360_00205",9.82e-111,318,"COG0735@1|root,COG0735@2|Bacteria,1V400@1239|Firmicutes,4HHF8@91061|Bacilli","91061|Bacilli","P","Belongs to the Fur family","perR","-","-","ko:K03711,ko:K09825","-","-","-","-","ko00000,ko03000","-","-","-","FUR","GCF_000006785.2"
"20485961","1314.HKU360_00207",5.43e-243,672,"COG3969@1|root,COG3969@2|Bacteria,1TPCD@1239|Firmicutes,4HEPW@91061|Bacilli","91061|Bacilli","S","phosphoadenosine phosphosulfate","-","-","-","-","-","-","-","-","-","-","-","-","DUF3440,PAPS_reduct","GCF_000006785.2"
"20485962","1314.HKU360_00208",4.3e-102,296,"COG1475@1|root,COG1475@2|Bacteria,1TR7E@1239|Firmicutes,4HH4F@91061|Bacilli","91061|Bacilli","K","ParB-like nuclease domain","-","-","-","-","-","-","-","-","-","-","-","-","ParBc","GCF_000006785.2"
"20485964","663952.SDD27957_06935",2.1e-40,140,"COG2801@1|root,COG2801@2|Bacteria,1TU21@1239|Firmicutes,4HDK4@91061|Bacilli,1M9V8@119603|Streptococcus dysgalactiae group","91061|Bacilli","L","COG2801 Transposase and inactivated derivatives","-","-","-","ko:K07497","-","-","-","-","ko00000","-","-","-","HTH_21,rve","GCF_000006785.2"
"20485965","1314.HKU360_01160",3.23e-59,183,"COG2963@1|root,COG2963@2|Bacteria,1VIRY@1239|Firmicutes","1239|Firmicutes","L","Transposase","-","-","-","ko:K07483","-","-","-","-","ko00000","-","-","-","HTH_28,HTH_Tnp_1","GCF_000006785.2"
"20485966","1314.HKU360_00213",1e-289,794,"COG0471@1|root,COG0471@2|Bacteria,1UHQB@1239|Firmicutes,4HQET@91061|Bacilli","91061|Bacilli","P","Dicarboxylate carrier protein MatC N-terminus","-","-","-","-","-","-","-","-","-","-","-","-","MatC_N","GCF_000006785.2"
"20485967","1314.HKU360_00214",3.54e-198,550,"COG0157@1|root,COG0157@2|Bacteria,1TPQC@1239|Firmicutes,4HB46@91061|Bacilli","91061|Bacilli","H","Belongs to the NadC ModD family","nadC","GO:0003674,GO:0003824,GO:0004514,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016054,GO:0016740,GO:0016757,GO:0016763,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0034213,GO:0034641,GO:0034654,GO:0042737,GO:0043436,GO:0043648,GO:0043649,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044424,GO:0044464,GO:0046395,GO:0046483,GO:0046496,GO:0046700,GO:0046874,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072524,GO:0072525,GO:0072526,GO:0090407,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576","2.4.2.19","ko:K00767","ko00760,ko01100,map00760,map01100","M00115","R03348","RC02877","ko00000,ko00001,ko00002,ko01000","-","-","-","QRPTase_C,QRPTase_N","GCF_000006785.2"
"20485968","1314.HKU360_00215",7.76e-191,530,"COG2801@1|root,COG2801@2|Bacteria,1TQQY@1239|Firmicutes","1239|Firmicutes","L","Integrase core domain protein","-","-","-","ko:K07497","-","-","-","-","ko00000","-","-","-","HTH_21,HTH_28,rve,rve_2","GCF_000006785.2"
"20485969","1314.HKU360_00216",4.01e-111,320,"COG2963@1|root,COG2963@2|Bacteria,1VE7K@1239|Firmicutes,4IPJI@91061|Bacilli","91061|Bacilli","L","transposase activity","-","-","-","ko:K07483","-","-","-","-","ko00000","-","-","-","HTH_28","GCF_000006785.2"
"20485970","1314.HKU360_00217",8.63e-193,536,"COG5523@1|root,COG5523@2|Bacteria,1VPTB@1239|Firmicutes","1239|Firmicutes","S","Protein of unknown function (DUF975)","-","-","-","-","-","-","-","-","-","-","-","-","DUF975","GCF_000006785.2"
"20485971","1314.HKU360_00218",1.64e-287,783,"COG0343@1|root,COG0343@2|Bacteria,1TNZ4@1239|Firmicutes,4HCNM@91061|Bacilli","91061|Bacilli","F","Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)","tgt","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0018130,GO:0019438,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046116,GO:0046483,GO:0055086,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659","2.4.2.29","ko:K00773","-","-","R03789,R10209","RC00063","ko00000,ko01000,ko03016","-","-","-","TGT","GCF_000006785.2"
"20485972","1314.HKU360_00220",7.33e-111,320,"COG1268@1|root,COG1268@2|Bacteria,1VAAD@1239|Firmicutes,4HI8T@91061|Bacilli","91061|Bacilli","S","BioY family","bioY","GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944","-","ko:K03523","ko02010,map02010","M00581,M00582","-","-","ko00000,ko00001,ko00002,ko02000","2.A.88.1,2.A.88.2","-","-","BioY","GCF_000006785.2"
"20485973","1314.HKU360_00223",8.73e-188,521,"COG1234@1|root,COG1234@2|Bacteria,1V1TF@1239|Firmicutes,4HFNV@91061|Bacilli","91061|Bacilli","S","Metal-dependent hydrolases of the beta-lactamase superfamily III","yhfI","GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0031123,GO:0034414,GO:0034470,GO:0034641,GO:0034660,GO:0042779,GO:0042780,GO:0042781,GO:0043170,GO:0043628,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1905267","-","-","-","-","-","-","-","-","-","-","Lactamase_B,Lactamase_B_2","GCF_000006785.2"
"20485974","1314.HKU360_00224",9.9e-121,344,"COG0590@1|root,COG0590@2|Bacteria,1V3HZ@1239|Firmicutes,4HH7S@91061|Bacilli","91061|Bacilli","FJ","Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2)","tadA","GO:0002097,GO:0002100,GO:0006139,GO:0006382,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016553,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360","3.5.4.33","ko:K11991","-","-","R10223","RC00477","ko00000,ko01000,ko03016","-","-","-","MafB19-deam","GCF_000006785.2"
"20485975","1314.HKU360_00225",1.14e-298,814,"COG5279@1|root,COG5279@2|Bacteria,1TY2Q@1239|Firmicutes","1239|Firmicutes","D","protein involved in cytokinesis, contains TGc (transglutaminase protease-like) domain","-","-","-","-","-","-","-","-","-","-","-","-","Transglut_core","GCF_000006785.2"
"20485976","1280.SAXN108_2050",1.32e-15,81.3,"2CC33@1|root,33T6Z@2|Bacteria,1VS9Y@1239|Firmicutes,4HUGW@91061|Bacilli,4GZZ9@90964|Staphylococcaceae","91061|Bacilli","S","Staphylococcal/Streptococcal toxin, OB-fold domain","-","-","-","ko:K11040","ko05150,map05150","-","-","-","ko00000,ko00001,ko02042","-","-","-","Stap_Strp_tox_C,Stap_Strp_toxin","GCF_000006785.2"
"20485977","1314.HKU360_00228",0,882,"COG0166@1|root,COG0166@2|Bacteria,1TP29@1239|Firmicutes,4H9VI@91061|Bacilli","91061|Bacilli","G","Belongs to the GPI family","pgi","GO:0003674,GO:0003824,GO:0004347,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046031,GO:0046034,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576","5.3.1.9","ko:K01810","ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200","M00001,M00004,M00114","R02739,R02740,R03321","RC00376,RC00563","ko00000,ko00001,ko00002,ko01000,ko04147","-","-","-","PGI","GCF_000006785.2"
"20485978","1314.HKU360_00230",0,939,"COG3711@1|root,COG3711@2|Bacteria,1VAP3@1239|Firmicutes","1239|Firmicutes","K","transcriptional antiterminator","rofA","-","-","-","-","-","-","-","-","-","-","-","HTH_Mga,Mga,PRD_Mga","GCF_000006785.2"
"20485979","1314.HKU360_00841",3.75e-162,460,"COG5433@1|root,COG5433@2|Bacteria,1UZWV@1239|Firmicutes","1239|Firmicutes","L","Transposase","-","-","-","-","-","-","-","-","-","-","-","-","DDE_Tnp_1,DDE_Tnp_1_assoc","GCF_000006785.2"
"20485980","1314.HKU360_00368",1e-103,308,"COG5433@1|root,COG5433@2|Bacteria,1UZWV@1239|Firmicutes","1239|Firmicutes","L","Transposase","-","-","-","-","-","-","-","-","-","-","-","-","DDE_Tnp_1,DDE_Tnp_1_assoc","GCF_000006785.2"
"20485981","1314.HKU360_00233",1.01e-150,424,"COG0705@1|root,COG0705@2|Bacteria,1TQXT@1239|Firmicutes,4HCDF@91061|Bacilli","91061|Bacilli","O","membrane protein (homolog of Drosophila rhomboid)","gluP","-","3.4.21.105","ko:K19225","-","-","-","-","ko00000,ko01000,ko01002","-","-","-","Rhomboid,TPR_2,TPR_8","GCF_000006785.2"
"20485982","1314.HKU360_00234",1.16e-212,587,"COG1210@1|root,COG1210@2|Bacteria,1TQ24@1239|Firmicutes,4HATY@91061|Bacilli","91061|Bacilli","M","UTP-glucose-1-phosphate uridylyltransferase","galU","-","2.7.7.9","ko:K00963","ko00040,ko00052,ko00500,ko00520,ko01100,ko01130,map00040,map00052,map00500,map00520,map01100,map01130","M00129,M00361,M00362,M00549","R00289","RC00002","ko00000,ko00001,ko00002,ko01000","-","-","-","NTP_transferase","GCF_000006785.2"
"20485983","1314.HKU360_00235",2.52e-238,655,"COG0240@1|root,COG0240@2|Bacteria,1TQ5P@1239|Firmicutes,4HAXW@91061|Bacilli","91061|Bacilli","I","Glycerol-3-phosphate dehydrogenase","gpsA","GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0016614,GO:0016616,GO:0047952,GO:0055114","1.1.1.94","ko:K00057","ko00564,ko01110,map00564,map01110","-","R00842,R00844","RC00029","ko00000,ko00001,ko01000","-","-","-","NAD_Gly3P_dh_C,NAD_Gly3P_dh_N","GCF_000006785.2"
"20485984","1314.HKU360_00236",7.28e-101,292,"COG1846@1|root,COG1846@2|Bacteria,1TTKD@1239|Firmicutes,4HQ62@91061|Bacilli","91061|Bacilli","K","Transcriptional regulator","-","-","-","-","-","-","-","-","-","-","-","-","MarR,MarR_2","GCF_000006785.2"
"20485985","1314.HKU360_00237",0,1047,"COG1132@1|root,COG1132@2|Bacteria,1TP0B@1239|Firmicutes,4H9SC@91061|Bacilli","91061|Bacilli","V","abc transporter atp-binding protein","XK27_09600","-","-","ko:K06147,ko:K18891","ko02010,map02010","M00708","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.106,3.A.1.109,3.A.1.135,3.A.1.21","-","-","ABC_membrane,ABC_tran","GCF_000006785.2"
"20485986","1314.HKU360_00238",0,1128,"COG1132@1|root,COG1132@2|Bacteria,1UNRI@1239|Firmicutes,4HFD4@91061|Bacilli","91061|Bacilli","V","abc transporter atp-binding","XK27_09605","-","-","ko:K18892","ko02010,map02010","M00708","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.135","-","-","ABC_membrane,ABC_tran","GCF_000006785.2"
"20485987","1314.HKU360_00239",6.67e-190,526,"COG1636@1|root,COG1636@2|Bacteria,1TT7H@1239|Firmicutes,4HC53@91061|Bacilli","91061|Bacilli","C","Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)","queH","-","1.17.99.6","ko:K09765","-","-","-","-","ko00000,ko01000,ko03016","-","-","-","DUF208","GCF_000006785.2"
"20485988","1314.HKU360_00240",1.42e-102,296,"COG0756@1|root,COG0756@2|Bacteria,1V6HX@1239|Firmicutes,4HIZ3@91061|Bacilli","91061|Bacilli","F","This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA","dut","-","3.6.1.23","ko:K01520","ko00240,ko00983,ko01100,map00240,map00983,map01100","M00053","R02100,R11896","RC00002","ko00000,ko00001,ko00002,ko01000,ko03400","-","-","-","dUTPase","GCF_000006785.2"
"20485989","1314.HKU360_00241",0,867,"COG1066@1|root,COG1066@2|Bacteria,1TQ7Y@1239|Firmicutes,4H9YC@91061|Bacilli","91061|Bacilli","O","DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function","radA","-","-","ko:K04485","-","-","-","-","ko00000,ko03400","-","-","-","AAA_25,ATPase,ChlI","GCF_000006785.2"
"20485990","1314.HKU360_00242",1.87e-113,325,"COG0288@1|root,COG0288@2|Bacteria,1V0TA@1239|Firmicutes,4HB9V@91061|Bacilli","91061|Bacilli","P","Reversible hydration of carbon dioxide","cah","-","4.2.1.1","ko:K01673","ko00910,map00910","-","R00132,R10092","RC02807","ko00000,ko00001,ko01000","-","-","-","Pro_CA","GCF_000006785.2"
"20485991","1314.HKU360_00243",1.56e-165,463,"COG2013@1|root,COG2013@2|Bacteria,1TPN2@1239|Firmicutes,4HHYG@91061|Bacilli","91061|Bacilli","S","Mitochondrial biogenesis AIM24","WQ51_05710","-","-","-","-","-","-","-","-","-","-","-","AIM24","GCF_000006785.2"
"20485992","1314.HKU360_00244",0,966,"COG0008@1|root,COG0008@2|Bacteria,1TPJC@1239|Firmicutes,4HAKH@91061|Bacilli","91061|Bacilli","J","Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)","gltX","GO:0001871,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0009986,GO:0030246,GO:0030247,GO:0044464,GO:2001065","6.1.1.24","ko:K09698","ko00970,ko01100,map00970,map01100","M00360","R03651,R05578","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016","-","-","iSB619.SA_RS02860","tRNA-synt_1c","GCF_000006785.2"
"20485993","1314.HKU360_00245",5.86999999999993e-311,848,"COG3290@1|root,COG3290@2|Bacteria,1UYTM@1239|Firmicutes","1239|Firmicutes","T","signal transduction protein with a C-terminal ATPase domain","fasB","-","2.7.13.3","ko:K07706","ko02020,ko02024,map02020,map02024","M00495","-","-","ko00000,ko00001,ko00002,ko01000,ko01001,ko02022","-","-","-","HATPase_c_5","GCF_000006785.2"
"20485994","1314.HKU360_00246",1.74e-290,795,"COG3290@1|root,COG3290@2|Bacteria","2|Bacteria","T","protein histidine kinase activity","fasC","-","2.7.13.3","ko:K02476,ko:K07706","ko02020,ko02024,map02020,map02024","M00495","-","-","ko00000,ko00001,ko00002,ko01000,ko01001,ko02022","-","-","-","HATPase_c_5,PAS_9","GCF_000006785.2"
"20485995","1314.HKU360_00247",4.86e-178,495,"COG3279@1|root,COG3279@2|Bacteria,1V392@1239|Firmicutes,4HHAI@91061|Bacilli","91061|Bacilli","KT","Response regulator of the LytR AlgR family","fasA","-","-","ko:K07707","ko02020,ko02024,map02020,map02024","M00495","-","-","ko00000,ko00001,ko00002,ko02022","-","-","-","LytTR,Response_reg","GCF_000006785.2"
"20485996","1314.HKU360_00249",2.53e-126,363,"COG0706@1|root,COG0706@2|Bacteria,1TQ0J@1239|Firmicutes,4HB3J@91061|Bacilli","91061|Bacilli","U","Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins","yidC","GO:0005575,GO:0008150,GO:0009653,GO:0009987,GO:0016020,GO:0030154,GO:0030435,GO:0032502,GO:0043934,GO:0048646,GO:0048856,GO:0048869","-","ko:K03217","ko02024,ko03060,ko03070,map02024,map03060,map03070","M00335","-","-","ko00000,ko00001,ko00002,ko02044,ko03029","2.A.9","-","-","60KD_IMP","GCF_000006785.2"
"20485997","1314.HKU360_00250",2.06e-204,567,"COG1847@1|root,COG1847@2|Bacteria,1V3IN@1239|Firmicutes,4HHHU@91061|Bacilli","91061|Bacilli","S","RNA-binding protein","jag","-","-","ko:K06346","-","-","-","-","ko00000","-","-","-","Jag_N,KH_4,R3H","GCF_000006785.2"
"20485998","1314.HKU360_00252",1.05e-162,456,"COG3010@1|root,COG3010@2|Bacteria,1TSR7@1239|Firmicutes,4HBPF@91061|Bacilli","91061|Bacilli","G","Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P)","nanE","-","5.1.3.9","ko:K01788","ko00520,map00520","-","R02087","RC00290","ko00000,ko00001,ko01000","-","-","-","NanE","GCF_000006785.2"
"20485999","1314.HKU360_00253",0,875,"COG1653@1|root,COG1653@2|Bacteria,1UZ65@1239|Firmicutes,4HEUZ@91061|Bacilli","91061|Bacilli","G","Bacterial extracellular solute-binding protein","-","-","-","ko:K02027","-","M00207","-","-","ko00000,ko00002,ko02000","3.A.1.1","-","-","SBP_bac_1,SBP_bac_8","GCF_000006785.2"
"20486000","759913.SDSE_2046",5.17e-222,613,"COG1175@1|root,COG1175@2|Bacteria,1TT6K@1239|Firmicutes,4HBUF@91061|Bacilli,1M9DJ@119603|Streptococcus dysgalactiae group","91061|Bacilli","P","ABC-type sugar transport systems, permease components","-","-","-","ko:K02025","-","M00207","-","-","ko00000,ko00002,ko02000","3.A.1.1","-","-","BPD_transp_1","GCF_000006785.2"
"20486001","759913.SDSE_2045",3.39e-189,526,"COG0395@1|root,COG0395@2|Bacteria,1TPDZ@1239|Firmicutes,4HF1H@91061|Bacilli,1M9GA@119603|Streptococcus dysgalactiae group","91061|Bacilli","P","transport system permease","-","-","-","ko:K02026","-","M00207","-","-","ko00000,ko00002,ko02000","3.A.1.1","-","-","BPD_transp_1","GCF_000006785.2"
"20486002","1314.HKU360_00257",2.27e-217,600,"COG0329@1|root,COG0329@2|Bacteria,1TQRK@1239|Firmicutes,4HEMA@91061|Bacilli","91061|Bacilli","EM","Belongs to the DapA family","nanH","-","4.1.3.3","ko:K01639","ko00520,map00520","-","R01811","RC00159,RC00600","ko00000,ko00001,ko01000","-","-","-","DHDPS","GCF_000006785.2"
"20486003","1314.HKU360_00258",1.18e-223,616,"COG1940@1|root,COG1940@2|Bacteria,1TP04@1239|Firmicutes,4HGYM@91061|Bacilli","91061|Bacilli","GK","ROK family","nanK","-","-","-","-","-","-","-","-","-","-","-","ROK","GCF_000006785.2"
"20486004","1314.HKU360_00259",1.15e-196,545,"COG1737@1|root,COG1737@2|Bacteria,1TR5E@1239|Firmicutes,4HFAM@91061|Bacilli","91061|Bacilli","K","Helix-turn-helix domain, rpiR family","-","-","-","-","-","-","-","-","-","-","-","-","HTH_6,SIS","GCF_000006785.2"
"20486005","1314.HKU360_00260",9.38e-185,514,"COG0084@1|root,COG0084@2|Bacteria,1TNY1@1239|Firmicutes,4HA74@91061|Bacilli","91061|Bacilli","L","Hydrolase, tatd","tatD","GO:0003674,GO:0003824,GO:0004518,GO:0004536,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0016788,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901361,GO:1901575","-","ko:K03424","-","-","-","-","ko00000,ko01000","-","-","-","TatD_DNase","GCF_000006785.2"
"20486006","759913.SDSE_2036",3.31e-129,368,"COG1658@1|root,COG1658@2|Bacteria,1V3K3@1239|Firmicutes,4HH5Y@91061|Bacilli,1M8RH@119603|Streptococcus dysgalactiae group","91061|Bacilli","J","Required for correct processing of both the 5' and 3' ends of 5S rRNA precursor. Cleaves both sides of a double-stranded region yielding mature 5S rRNA in one step","rnmV","GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0022613,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043822,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360","3.1.26.8","ko:K05985","-","-","-","-","ko00000,ko01000","-","-","-","DUF4093,Toprim,Toprim_4","GCF_000006785.2"
